,sentence1,sentence2,label
109,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","Constructors cannot return values, so they cannot specify a return type. Normally, constructors are declared public.",0.8
110,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when one is not explicitly included by a class,1.0
111,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","When no constructor exists when one is needed, a parameterless default constructor is declared.",1.0
112,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when a class does not explicitly include a constructor,1.0
113,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",In any class that doesn't explicitly include a constructor.,1.0
114,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when a constructor is not provided by the programmer of the class,1.0
115,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",In any class that does not explicitly include a constructor.,1.0
116,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",When you dont specify any constructors.,1.0
117,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",The compiler will provide one when class does not explictly include a consructor.,1.0
118,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",When non are provided,1.0
119,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",The compiler creates a default constructor when we do not define one in our class file,1.0
120,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",When a class does not explicitly include a constructor.,1.0
121,Unlimited number.,one,0.0
122,Unlimited number.,It depends on the number of objects. Each object should have a constructor.,0.5
123,Unlimited number.,that depends on the number of data members in the class,0.3
124,Unlimited number.,As many as needed.,1.0
125,Unlimited number.,"by default just one, but they may be overloaded to create as many constructors as necessary",1.0
126,Unlimited number.,as many as you want,1.0
127,Unlimited number.,"as many as you want, as long as they each have a unique argument list",1.0
128,Unlimited number.,one,0.0
129,Unlimited number.,as many as you need,1.0
130,Unlimited number.,Just one per class.,0.0
131,Unlimited number.,"In C++, the constructor can be overloaded in that there can be more than one constructor for a class, each having different parameters.",1.0
132,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","function prototype describe the class's public interface without revealing   the class's member function implementations,  function definitions show what   implementations are being done",0.9
133,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A function prototype is just a declaration of the function existing, and cant be used as an actual function. A function has to be created with a definition within to tell the compiler what the function does.",0.7
134,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","a function prototype simply declares the functions parameters, the function definition includes any necessary variables and the function's actual code",0.8
135,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",A function prototype describes the class's public interface without providing how the function works. A function definition contains the inner workings of the function.,0.9
136,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","a function prototype is used to reference the compiler to a function that will be defined later on, a function definition is the actual function itself, complete with return type, parameters, etc...",0.8
137,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",A function prototype describes a class's public interface without revealing the class's member function implementations,0.9
138,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A function prototype only names the function, its return type, and it's argument list, while a definition defines the above as well as what the function actually does.",1.0
139,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A functgion prototype is a declaration of a function , while function definition specifies what a function does",0.7
140,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",a prototype declares what will be used in the program and the definition,0.6
141,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",A function definition does not require any additional information that needs to be passed inside its parenthesis  to execute. While a definition prototype requires more than one parameters to be passed in order to complete its  task.,0.8
142,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A function prototype is a declaration of a function that tells the compiler the function's name, its return type and the types of its parameters.",1.0
143,"To store a class interface, including data members and member function prototypes.",class definitions are placed here,0.6
144,"To store a class interface, including data members and member function prototypes.",a header file is a file used to store a list of prototye functions and data members.,1.0
145,"To store a class interface, including data members and member function prototypes.",header files contain code which can be used in multiple files,0.6
146,"To store a class interface, including data members and member function prototypes.",It contains reusable source code for use by other classes.,0.6
147,"To store a class interface, including data members and member function prototypes.",A header file allows for the separation of declaration and implementation into separate files.,0.8
148,"To store a class interface, including data members and member function prototypes.",the header file has access to the C++ Standard Library and makes certain classes like class string work.,0.3
149,"To store a class interface, including data members and member function prototypes.",A header file usually contains class and/or function prototypes.,0.9
150,"To store a class interface, including data members and member function prototypes.",Allow compiler to recognize the classes when used elsewhere,0.6
151,"To store a class interface, including data members and member function prototypes.",to declare the functions being used in the classes,0.6
152,"To store a class interface, including data members and member function prototypes.",the role of a header file list all the functions a class can do while hiding the inner workings of its functions,0.9
153,"To store a class interface, including data members and member function prototypes.","A header file consists of ""reusable"" source code such as a class in a file that by convention has a .h filename extension. This differs from .cpp files that contain ""source-code.""",0.7
154,The name of the function and the types of the parameters.,The function name and parameters,1.0
155,The name of the function and the types of the parameters.,"A function signature includes the name of the function and types of arguments, but not the return type.  ",1.0
156,The name of the function and the types of the parameters.,the function's name and parameters,1.0
157,The name of the function and the types of the parameters.,"function name, and input paramaters",1.0
158,The name of the function and the types of the parameters.,The portion of the function prototyp tha has the function name and the arguments but NOT the return type.,1.0
159,The name of the function and the types of the parameters.,Name of the function and the types of it's arguments,1.0
160,The name of the function and the types of the parameters.,a function's return type and parameter list,0.6
161,The name of the function and the types of the parameters.,The name of the function and the types of its arguments.,1.0
162,The name of the function and the types of the parameters.,"identification of a function and the data types of its parameters, it has the name, and the data type variables ",1.0
163,The name of the function and the types of the parameters.,"It includes the name of the program, the type of parameters it can take. It should also include a brief description of what the function does.",0.9
164,The name of the function and the types of the parameters.,It includes the name of the function and the types of its arguments.,1.0
165,File scope.,File scope,1.0
166,File scope.,Global variables all have file scope.,1.0
167,File scope.,"If a variable is declared global, any function or class can use that variable.",0.9
168,File scope.,"variables accessible anywhere in the program, as long as they are public.",0.9
169,File scope.,Global variables have file-scope.  The variable is know to all functions throught the file,1.0
170,File scope.,The entire program,0.9
171,File scope.,global variables have program scope (accessible anywhere in program),0.9
172,File scope.,The entire program or file.,1.0
173,File scope.,They can be used throughout the program,0.9
174,File scope.,Any functions that follows their deceleration that  are in the source code file are allowed to have access the variables.  Also global scope variables retrain their value throughout the execution of the program.,1.0
175,File scope.,A global variable is an identifier that retains it's value throughout the execution of the program. It has file scope.,1.0
176,It makes a copy of the function code in every place where a function call is made.,Expands the function into the program,0.8
177,It makes a copy of the function code in every place where a function call is made.,"For inline functions, the compiler creates a copy of the function's code in place so it doesn't have to make a function call and add to the function call stack.",1.0
178,It makes a copy of the function code in every place where a function call is made.,"It generates a copy of the function, if it is needed again.",0.7
179,It makes a copy of the function code in every place where a function call is made.,not answered,0.0
180,It makes a copy of the function code in every place where a function call is made.,"When the program compiles,it will copy the function inplace, avoiding a function call.",1.0
181,It makes a copy of the function code in every place where a function call is made.,"It replaces all instances of that function call with the inline code itself, resulting in longer but faster programs.",1.0
182,It makes a copy of the function code in every place where a function call is made.,the function call will be replaced by the code that was defined in the inline function,1.0
183,It makes a copy of the function code in every place where a function call is made.,"The complier includes copies of inline functions instead of making function calls, but usually only with very small functions.",1.0
184,It makes a copy of the function code in every place where a function call is made.,If the function is small enough it will expand it but it will run faster as it will avoid making so many calls to the function.,0.9
185,It makes a copy of the function code in every place where a function call is made.,It expands the function's definition in that place.  Once the functions is called you can use it as many times as you need.  The compiler just expands on the function.,0.9
186,It makes a copy of the function code in every place where a function call is made.,"Placing the qualifier inline before a function's return type in the function definition ""advises"" the compiler to generate a copy of the function's code in place to avoid a function call.",1.0
187,It avoids making copies of large data structures when calling functions.,You are able to modify the variable that is referenced directly.,0.7
188,It avoids making copies of large data structures when calling functions.,"If a function's arguments are large in size, computing time and memory space is not wasted copying down the argument and passing it to the function.  Also pass by reference gives the function called the permission to read edit the argument directly.",1.0
189,It avoids making copies of large data structures when calling functions.,The data can be modified directly instead of making a copy of the data. Improves execution time with large amounts of data.,0.8
190,It avoids making copies of large data structures when calling functions.,"less overhead overall, and you modify the variable directly.",0.7
191,It avoids making copies of large data structures when calling functions.,It elimitates the need to copy large amonts of data,1.0
192,It avoids making copies of large data structures when calling functions.,The function can change the data stored in a variable passed by reference directly.,0.7
193,It avoids making copies of large data structures when calling functions.,"only the memory address is sent to the function, so no copy of the object sent needs to be made. It makes the function run faster, and saves memory.",1.0
194,It avoids making copies of large data structures when calling functions.,Functions can directly modify arguments that are passed by reference.,0.7
195,It avoids making copies of large data structures when calling functions.,It is more efficient and it changes the variable not online inside the function but outside so that the new value can be used elsewhere.,0.6
196,It avoids making copies of large data structures when calling functions.,Overall the program has better performance (means it is faster) because it does not have to copy large amounts of data.,1.0
197,It avoids making copies of large data structures when calling functions.,"Pass by reference is good for performance reasons, because it can eliminate the pass by value overhead of copying large amounts of data.",1.0
198,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","By the number, and the types and order of the  parameters.",1.0
199,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","The compiler selects the right function to execute from the number, types and order of arguments in the function call.",1.0
200,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",The compiler differentiates overloaded functions by their signature.,1.0
201,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",their function signature.,1.0
202,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","It examines the names, types, and order of arguments on each function.",1.0
203,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",unique function signatures,1.0
204,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","by their signature (return type, argument list)",0.8
205,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","By the number, types, and order of their arguments",1.0
206,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",not answered,0.0
207,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","The compiler selects the proper functions to execute based on number, types and order of arguments in the function call.",1.0
208,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","The compiler selects proper function to execute based on number, types and order of arguments in the function call.",1.0
209,"If the recursion step is defined incorrectly, or if the base case is not included.",No easily reached base case and no base case at all,1.0
210,"If the recursion step is defined incorrectly, or if the base case is not included.","If the recursion function never reaches or successfully defines the base case it will recurse forever.  This happens many ways, such as the function doesn't progress towards the base case, or the function is coded poorly and doesn't even contain a base case.",1.0
211,"If the recursion step is defined incorrectly, or if the base case is not included.",Infinite recursion may occur if no base case is defined or if the call is not varied.,0.9
212,"If the recursion step is defined incorrectly, or if the base case is not included.",improper handling of cases such that not all possible values are able to be handled.,0.7
213,"If the recursion step is defined incorrectly, or if the base case is not included.","If at each recursive call the problem does not diminish or if it does not diminish to a base case, can cause infinite recursion.",1.0
214,"If the recursion step is defined incorrectly, or if the base case is not included.",Omitting the base case or incorrectly calling the recursive step.,1.0
215,"If the recursion step is defined incorrectly, or if the base case is not included.","it has no base case, or the base case is never met",1.0
216,"If the recursion step is defined incorrectly, or if the base case is not included.","Not having a base case, or building a recursion process that doesn't converge on the base case.",1.0
217,"If the recursion step is defined incorrectly, or if the base case is not included.",Not having the proper case to leave the recursion,0.8
218,"If the recursion step is defined incorrectly, or if the base case is not included.","A base case that is the simplest case for a problem so that the function will lead to it, if this does not happen then it will end up as an infinite loop. And a condition to know when to terminate.   ",1.0
219,"If the recursion step is defined incorrectly, or if the base case is not included.",Either omitting the base case or writing the recursion step incorrectly so that it does not converge on the base case can cause an infinite recursion.,1.0
220,They both involve repetition; they both have termination tests; they can both occur infinitely.,Based on control statement;  involve repetition; involve a terminal test; both can occur infinitly,1.0
221,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Iteration and recursion both use repetition and perform several simple operations and algorithms successively until they reach a certain limit.  So both involve a termination test to find that limit and both slowly approach that termination limit.  Both are based on a control statement as well.    If coded poorly, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation.",1.0
222,They both involve repetition; they both have termination tests; they can both occur infinitely.,"They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly.",1.0
223,They both involve repetition; they both have termination tests; they can both occur infinitely.,they are methods of repeating the same task.,0.4
224,They both involve repetition; they both have termination tests; they can both occur infinitely.,Both are repetative and both have a end test.,0.9
225,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Incorrectly writing either can result in infinite loops, both perform the same task over and over.",0.7
226,They both involve repetition; they both have termination tests; they can both occur infinitely.,both need to have some kind of base case to tell when the loop needs to stop.,0.6
227,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Both are based on a control statement; both gradually approach termination ending with a termination test; both involve repetition, and can both repeat infinitely if their  termination requirements are not met.",1.0
